"","书名","作者","价格","评分"
"182","天朝的崩溃","茅海建 "," 32.00元","9.1"
"183","天生有罪","[南非] 特雷弗·诺亚 "," 58.00","9.1"
"184","万物有灵且美","[英] 吉米·哈利 "," 28.80","8.9"
"185","翦商","李硕 "," 99.00元","9.0"
"186","一桩事先张扬的凶杀案","[哥伦比亚] 加西亚·马尔克斯 "," 25.00元","8.7"
"187","亲密关系（第6版）","[美] 罗兰·米勒 (Rowland S. Miller) "," 138.00元","9.3"
"188","九州·缥缈录","江南 "," 20.00元","8.8"
"189","理想国","[古希腊] 柏拉图 "," 28.00元","8.8"
"190","倚天屠龙记","金庸 "," 47.00","8.7"
"191","浮生六记","（清）沈复 "," 38","8.7"
"192","情书","[日] 岩井俊二 "," 18.00元","8.6"
"193","送你一颗子弹","刘瑜 "," 25.00元","8.6"
"194","渴望生活","[美] 欧文·斯通 "," 29.80元","9.2"
"195","罗生门","[日] 芥川龙之介 "," 12.00元","8.7"
"196","孩子你慢慢来","龙应台 "," 28.00元","8.7"
"197","东晋门阀政治","田余庆 "," 49.00元","9.5"
"198","尼罗河上的惨案","[英] 阿加莎·克里斯蒂 "," 22.00元","8.7"
"199","雷雨","曹禺 "," 9.20","8.7"
"200","最好的我们","八月长安 "," 55","8.8"
"201","雨季不再来","三毛 "," 28.00元","8.8"
"202","荒原狼","[德]赫尔曼·黑塞 "," 13.00","9.0"
"203","从零开始的女性主义","[日本] 上野千鹤子 "," 52.00元","8.7"
"204","一千零一夜","纳训 "," 22.00","8.7"
"205","当呼吸化为空气","[美] 保罗·卡拉尼什 "," 48.00元","8.9"
"206","雕刻时光","[苏] 安德烈·塔可夫斯基 "," 45.00元","9.5"
"207","野火集","龙应台 "," 25.00元","8.7"
"208","论语","刘胜利 "," 9.80元","9.1"
"209","孙子兵法","孙武 "," 20.00元","9.4"
"210","水浒传（全二册）","[明] 施耐庵 "," 50.60元","8.7"
"211","银河系漫游指南","[英] 道格拉斯·亚当斯 "," 16.00元","8.8"
"212","庄子","孙通海 译注 "," 20.00元","9.4"
"213","你好，旧时光（上 下）","八月长安 "," 39.80元","8.7"
"214","你一生的故事","[美] 特德·姜 "," 36.00元","8.8"
"215","银河帝国：基地七部曲","[美] 艾萨克·阿西莫夫 "," 328.00元","9.5"
"216","现代艺术150年","[英] 威尔·贡培兹 "," 65.00元","9.2"
"217","在细雨中呼喊","余华 "," 25.00元","8.8"
"218","不存在的骑士","[意] 伊塔洛·卡尔维诺 "," 22.00元","8.9"
"219","骆驼祥子","老舍 "," 12.00","8.6"
"220","生死疲劳","莫言 "," 69.90","9.1"
"221","二手时间","[白俄] S. A. 阿列克谢耶维奇 "," 55.00元","8.9"
"222","显微镜下的大明","马伯庸 "," 52.00元","8.7"
"223","解忧杂货店","[日] 东野圭吾 "," 39.50元","8.5"
"224","顾城的诗","顾城 "," 20.00","8.8"
"225","象棋的故事","[奥] 斯蒂芬·茨威格 "," 23.00元","9.1"
"226","枪炮、病菌与钢铁","[美] 贾雷德·戴蒙德 "," 45.00元","8.7"
"227","火星救援","[美]安迪•威尔 "," 38.00","8.9"
"228","众病之王","[美] 悉达多·穆克吉 "," 42.00元","9.0"
"229","会饮篇","[古希腊] 柏拉图 "," 12.00元","9.3"
"230","总统是靠不住的","林达 "," 21.80","8.8"
"231","毛姆短篇小说精选集","[英] 威廉·萨默塞特·毛姆 "," 36.00元","9.1"
"232","上学记","何兆武 口述 "," 19.80元","8.9"
"233","父权制与资本主义","[日] 上野千鹤子 "," 58.00元","9.2"
"234","规训与惩罚","[法] 米歇尔·福柯 "," 21.80元","9.3"
"235","李光耀观天下","李光耀 "," 58.00元","9.2"
"236","认识电影","[美] 路易斯·贾内梯 "," 68.00元","8.9"
"237","目送","龙应台 "," 39.00元","8.6"
"238","从一到无穷大","[美] G. 伽莫夫 "," 29.00元","9.1"
"239","亲爱的安德烈","龙应台 "," 26.00","8.6"
"240","金锁记","张爱玲 "," 13.5元","8.6"
"241","时间的秩序","[意] 卡洛·罗韦利 "," 56.00元","8.9"
"242","帷幕","[英] 阿加莎·克里斯蒂 "," 26.00","9.1"
"243","跨越边界的社区（修订版）","项飙 "," 68.00元","9.5"
"244","黑箱：日本之耻","[日]伊藤诗织 "," 48.00元","8.9"
"245","分成两半的子爵","[意] 伊塔洛·卡尔维诺 "," 20.00元","8.8"
"246","青铜时代","王小波 "," 29.00元","8.8"
"247","中国哲学简史","冯友兰 "," 38.00元","8.9"
"248","坟","鲁迅 "," 16.00元","9.6"
"249","如父如子","[日] 是枝裕和 "," 49.80","8.9"
"250","荆棘鸟","[澳] 考琳·麦卡洛 "," 28.00元","8.6"
